Date,Open,High,Low,Close,Volume
2023-08-07,47.4393,47.4393,45.7098,46.3818,2618
2023-08-08,45.265,46.451,44.9191,45.1267,3994
2023-08-09,45.1662,46.4411,45.1662,46.115,3034
2023-08-10,46.4313,46.451,45.1662,46.0755,7023
2023-08-11,45.2255,45.7098,44.7709,45.4627,1753
2023-08-14,44.4744,45.2947,41.9048,44.0296,10425
2023-08-16,45.9173,45.9173,43.7826,43.832,4774
2023-08-17,44.7215,45.1959,43.3181,43.7035,2922
2023-08-18,45.9569,45.9569,42.5076,42.814,8954
2023-08-21,42.8239,42.8239,41.2623,41.3414,15918
2023-08-22,42.3791,42.982,41.5094,42.0728,10297
2023-08-23,42.4879,42.4879,41.3414,41.6873,1718
2023-08-24,42.4879,46.451,41.5094,42.8239,16563
2023-08-25,43.6837,43.6837,40.8176,41.4897,12499
2023-08-28,41.4205,42.3989,40.7682,40.9164,6735
2023-08-29,42.4977,42.9919,39.5921,40.4816,9163
2023-08-30,42.9919,42.9919,39.5328,40.699,9937
2023-08-31,40.6694,41.4798,38.5445,39.1968,32682
2023-09-01,40.5013,43.4861,39.5328,42.7152,19541
2023-09-04,43.7826,43.7826,41.5193,42.2408,4217
2023-09-05,42.4483,42.646,41.7565,42.4384,5488
2023-09-06,43.2785,43.2785,42.0233,43.0413,10480
2023-09-07,43.4366,43.4366,41.7664,42.1617,3912
2023-09-08,43.1896,43.1896,42.1716,43.15,4682
2023-09-11,43.1599,43.4366,41.2623,41.9739,9148
2023-09-12,41.6181,42.9425,40.9164,40.9461,2028
2023-09-13,40.9461,41.4501,40.274,40.8176,8971
2023-09-14,42.4681,42.4681,40.3729,40.7089,8403
2023-09-15,41.5193,42.5669,40.6397,42.2704,6023
2023-09-18,42.982,42.982,40.0566,40.5112,12328
2023-09-20,41.6972,41.6972,36.7853,40.5211,6041
2023-09-21,39.7107,41.203,39.7107,40.0862,2963
2023-09-22,40.1258,40.9164,39.8886,40.9066,2827
2023-09-25,40.0862,41.0153,39.5921,40.699,2761
2023-09-26,40.3234,40.9164,39.3351,40.1258,2769
2023-09-27,40.2246,40.2641,38.5445,39.5921,2992
2023-09-28,40.4915,42.2507,39.0979,40.2444,6821
2023-09-29,40.5211,40.5211,39.2363,40.5112,3429
2023-10-03,41.5193,41.5193,38.1491,39.2066,13733
2023-10-04,40.1851,40.2246,38.0503,38.6927,2600
2023-10-05,40.0171,40.0171,37.6154,39.4142,13168
2023-10-06,38.3567,40.0171,37.566,38.6235,9407
2023-10-09,39.2363,40.0269,37.6056,37.655,3060
2023-10-10,39.0287,39.5328,37.6154,39.3351,4729
2023-10-11,39.7304,39.7304,37.7538,39.0584,2160
2023-10-12,39.5328,40.4717,38.1491,38.2381,17278
