INDEX_NAME,STOCK_SYMBOL
NIFTY MICROCAP 250,SHAKTIPUMP
NIFTY MICROCAP 250,PRICOLLTD
NIFTY MICROCAP 250,GARFIBRES
NIFTY MICROCAP 250,SAMHI
NIFTY MICROCAP 250,SANSERA
NIFTY MICROCAP 250,ADVENZYMES
NIFTY MICROCAP 250,MANINFRA
NIFTY MICROCAP 250,BORORENEW
NIFTY MICROCAP 250,EDELWEISS
NIFTY MICROCAP 250,SHARDACROP
NIFTY MICROCAP 250,RAYMONDLSL
NIFTY MICROCAP 250,TIMETECHNO
NIFTY MICROCAP 250,SEQUENT
NIFTY MICROCAP 250,TIPSMUSIC
NIFTY MICROCAP 250,GAEL
NIFTY MICROCAP 250,WESTLIFE
NIFTY MICROCAP 250,VMART
NIFTY MICROCAP 250,TDPOWERSYS
NIFTY MICROCAP 250,INOXGREEN
NIFTY MICROCAP 250,SHAILY
NIFTY MICROCAP 250,AVALON
NIFTY MICROCAP 250,ELECTCAST
NIFTY MICROCAP 250,ZAGGLE
NIFTY MICROCAP 250,ETHOSLTD
NIFTY MICROCAP 250,KPIGREEN
NIFTY MICROCAP 250,IXIGO
NIFTY MICROCAP 250,HIKAL
NIFTY MICROCAP 250,MTARTECH
NIFTY MICROCAP 250,THYROCARE
NIFTY MICROCAP 250,BLACKBUCK
NIFTY MICROCAP 250,ICIL
NIFTY MICROCAP 250,WEBELSOLAR
NIFTY MICROCAP 250,INDIGOPNTS
NIFTY MICROCAP 250,TRANSRAILL
NIFTY MICROCAP 250,IMFA
NIFTY MICROCAP 250,ROUTE
NIFTY MICROCAP 250,EASEMYTRIP
NIFTY MICROCAP 250,HCC
NIFTY NEXT 50,CHOLAFIN
NIFTY NEXT 50,PNB
NIFTY NEXT 50,UNITDSPR
NIFTY NEXT 50,DLF
NIFTY NEXT 50,BRITANNIA
NIFTY NEXT 50,BANKBARODA
NIFTY NEXT 50,BPCL
NIFTY NEXT 50,DMART
NIFTY NEXT 50,ADANIPOWER
NIFTY NEXT 50,CANBK
NIFTY NEXT 50,ADANIENSOL
NIFTY NEXT 50,JSWENERGY
NIFTY NEXT 50,BAJAJHLDNG
NIFTY NEXT 50,TVSMOTOR
NIFTY NEXT 50,LTIM
NIFTY NEXT 50,ADANIGREEN
NIFTY NEXT 50,IOC
NIFTY NEXT 50,GODREJCP
NIFTY NEXT 50,RECLTD
NIFTY NEXT 50,PFC
NIFTY NEXT 50,DIVISLAB
NIFTY NEXT 50,CGPOWER
NIFTY NEXT 50,HAVELLS
NIFTY NEXT 50,INDHOTEL
NIFTY NEXT 50,HINDZINC
NIFTY NEXT 50,JINDALSTEL
NIFTY NEXT 50,ABB
NIFTY NEXT 50,BOSCHLTD
NIFTY NEXT 50,ENRIN
NIFTY NEXT 50,IRFC
NIFTY NEXT 50,VBL
NIFTY NEXT 50,TATAPOWER
NIFTY NEXT 50,LODHA
NIFTY NEXT 50,ZYDUSLIFE
NIFTY NEXT 50,AMBUJACEM
NIFTY NEXT 50,GAIL
NIFTY NEXT 50,ICICIGI
NIFTY NEXT 50,TORNTPHARM
NIFTY NEXT 50,LICI
NIFTY NEXT 50,NAUKRI
NIFTY NEXT 50,PIDILITIND
NIFTY NEXT 50,MOTHERSON
NIFTY NEXT 50,BAJAJHFL
NIFTY NEXT 50,SOLARINDS
NIFTY NEXT 50,MAZDOCK
NIFTY NEXT 50,VEDL
NIFTY NEXT 50,HAL
NIFTY NEXT 50,SIEMENS
NIFTY NEXT 50,SHREECEM
NIFTY NEXT 50,HYUNDAI
NIFTY COMMODITIES,SRF
NIFTY COMMODITIES,HINDALCO
NIFTY COMMODITIES,JSWSTEEL
NIFTY COMMODITIES,BPCL
NIFTY COMMODITIES,OIL
NIFTY COMMODITIES,ADANIPOWER
NIFTY COMMODITIES,ADANIENSOL
NIFTY COMMODITIES,JSWENERGY
NIFTY COMMODITIES,GRASIM
NIFTY COMMODITIES,RELIANCE
NIFTY COMMODITIES,NMDC
NIFTY COMMODITIES,UPL
NIFTY COMMODITIES,ADANIGREEN
NIFTY COMMODITIES,IOC
NIFTY COMMODITIES,TATASTEEL
NIFTY COMMODITIES,HINDPETRO
NIFTY COMMODITIES,COALINDIA
NIFTY COMMODITIES,JINDALSTEL
NIFTY COMMODITIES,NHPC
NIFTY COMMODITIES,NTPC
NIFTY COMMODITIES,ULTRACEMCO
NIFTY COMMODITIES,TATAPOWER
NIFTY COMMODITIES,ONGC
NIFTY COMMODITIES,APLAPOLLO
NIFTY COMMODITIES,AMBUJACEM
NIFTY COMMODITIES,PIIND
NIFTY COMMODITIES,PIDILITIND
NIFTY COMMODITIES,TORNTPOWER
NIFTY COMMODITIES,VEDL
NIFTY COMMODITIES,SHREECEM
NIFTY IT,HCLTECH
NIFTY IT,MPHASIS
NIFTY IT,PERSISTENT
NIFTY IT,INFY
NIFTY IT,WIPRO
NIFTY IT,LTIM
NIFTY IT,TECHM
NIFTY IT,TCS
NIFTY IT,COFORGE
NIFTY IT,OFSS
NIFTY INDIA DEFENCE,ASTRAMICRO
NIFTY INDIA DEFENCE,BHARATFORG
NIFTY INDIA DEFENCE,ZENTEC
